,x
10546,5.41E-07
10547,5.41E-07
10548,4.98E-07
10549,5.21E-07
10550,5.20E-07
10551,5.03E-07
10552,5.18E-07
10553,5.28E-07
10554,5.11E-07
10555,4.78E-07
10556,5.00E-07
10557,5.42E-07
10558,5.31E-07
10559,5.26E-07
10560,5.21E-07
10561,4.67E-07
10562,5.61E-07
10563,5.30E-07
10564,5.45E-07
10565,5.06E-07
10566,5.16E-07
10567,4.93E-07
10568,4.99E-07
10569,5.18E-07
10570,4.89E-07
10571,5.32E-07
10572,5.58E-07
10573,5.09E-07
10574,5.35E-07
10575,4.75E-07
10576,4.81E-07
10577,4.98E-07
10578,4.92E-07
10579,5.06E-07
10580,5.03E-07
10581,5.27E-07
10582,5.21E-07
10583,5.40E-07
10584,4.63E-07
10585,4.93E-07
10586,5.44E-07
10587,4.66E-07
10588,5.93E-07
10589,5.48E-07
10590,5.12E-07
10591,5.64E-07
10592,5.57E-07
10593,4.96E-07
10594,4.96E-07
10595,5.49E-07
10596,4.68E-07
10597,5.65E-07
10598,5.27E-07
10599,5.15E-07
10600,4.79E-07
10601,5.08E-07
10602,5.13E-07
10603,4.91E-07
10604,5.12E-07
10605,5.84E-07
10606,4.99E-07
10607,4.92E-07
10608,5.15E-07
10609,5.21E-07
10610,5.33E-07
10611,5.28E-07
10612,5.23E-07
10613,5.11E-07
10614,5.23E-07
10615,5.07E-07
10616,5.11E-07
10617,4.96E-07
10618,4.84E-07
10619,5.31E-07
10620,5.54E-07
10621,5.02E-07
10622,4.62E-07
10623,5.09E-07
10624,5.54E-07
10625,5.68E-07
10626,5.09E-07
10627,4.98E-07
10628,5.66E-07
10629,4.97E-07
10630,4.62E-07
10631,5.18E-07
10632,5.11E-07
10633,5.16E-07
10634,5.38E-07
10635,5.25E-07
10636,5.68E-07
10637,5.04E-07
10638,5.71E-07
10639,4.89E-07
10640,5.50E-07
10641,5.39E-07
10642,4.92E-07
10643,4.68E-07
10644,5.24E-07
10645,5.15E-07
10646,4.94E-07
10647,4.64E-07
10648,5.12E-07
10649,4.98E-07
10650,5.06E-07
10651,4.83E-07
10652,5.25E-07
10653,5.14E-07
10654,5.22E-07
10655,5.07E-07
10656,4.95E-07
10657,5.15E-07
10658,5.29E-07
10659,5.62E-07
10660,5.44E-07
10661,4.93E-07
10662,5.41E-07
10663,4.75E-07
10664,5.84E-07
10665,5.11E-07
10666,5.27E-07
10667,4.97E-07
10668,5.12E-07
10669,5.38E-07
10670,5.33E-07
10671,4.94E-07
10672,4.99E-07
10673,5.24E-07
10674,5.47E-07
10675,5.14E-07
10676,5.27E-07
10677,4.91E-07
10678,5.28E-07
10679,5.65E-07
10680,5.41E-07
10681,5.19E-07
10682,5.07E-07
10683,5.14E-07
10684,5.04E-07
10685,5.15E-07
10686,5.13E-07
10687,5.08E-07
10688,5.04E-07
10689,5.29E-07
10690,5.13E-07
10691,4.77E-07
10692,5.23E-07
10693,5.15E-07
10694,5.54E-07
10695,4.99E-07
10696,5.02E-07
10697,5.08E-07
10698,5.33E-07
10699,5.05E-07
10700,5.20E-07
10701,5.51E-07
10702,4.63E-07
10703,4.86E-07
10704,5.11E-07
10705,4.87E-07
10706,5.13E-07
10707,5.06E-07
10708,5.12E-07
10709,5.27E-07
10710,4.66E-07
10711,5.73E-07
10712,4.89E-07
10713,4.89E-07
10714,5.54E-07
10715,5.26E-07
10716,5.28E-07
10717,5.38E-07
10718,5.56E-07
10719,5.61E-07
10720,4.97E-07
10721,5.44E-07
10722,4.92E-07
10723,5.14E-07
10724,5.34E-07
10725,5.90E-07
10726,4.96E-07
10727,5.13E-07
10728,5.13E-07
10729,5.14E-07
10730,5.37E-07
10731,4.90E-07
10732,5.10E-07
10733,5.01E-07
10734,5.57E-07
10735,5.52E-07
10736,5.13E-07
10737,4.75E-07
